District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
South Coast,Other works,,,Corridor and Minor Safety Enhancements,31752600,0,1504684,30247916,0,0,17993579,8212706,5546315,5546315,2870057,2676258,0,,,0,,
South Coast,Other works,,,"Corridor, Roadway and Structures Management",4717919,0,0,4717919,0,0,1146589,1162647,2408683,2408683,1205819,1202864,0,,,0,,
South Coast,Other works,,,Local Government Transport Development,31854655,0,19153050,12701605,0,0,13699440,12195263,5959952,5959952,3248064,2711888,0,,,0,,
South Coast,Other works,,,Natural Disaster Operational,195706,0,146779,48927,0,0,195706,0,0,0,0,0,0,,,0,,
South Coast,Other works,,,Natural Disaster Rehabilitation and Replacement,135746123,0,101494602,34251521,0,0,16570485,69175638,50000000,50000000,50000000,0,0,,,0,,
South Coast,Other works,,,"Navigational Access and Safety Program, various locations, dredging navigation channels",3220000,0,0,3220000,0,0,1370000,150000,1700000,1700000,850000,850000,0,,,0,,
South Coast,Other works,,,Programmed Maintenance,95454046,0,4918135,90535911,0,0,22177459,22995522,50281065,50281065,23936193,26344872,0,,,0,,
South Coast,Other works,,,Rehabilitation,121556628,0,8223868,113332760,0,0,41619363,25571908,54365357,54365357,26135790,28229567,0,,,0,,
South Coast,Other works,,,Routine Maintenance,138806920,0,21518817,117288103,0,0,30811508,33728341,74267071,74267071,35587828,38679243,0,,,0,,
South Coast,Other works,,,Traffic Management Enhancements,10744144,0,840000,9904144,0,0,5505144,3611500,1627500,1627500,1627500,0,0,,,0,,
South Coast,Other works,,,Traffic Operations,25217229,0,6340629,18876600,0,0,18087064,3499924,3630241,3630241,3630241,0,0,,,0,,
South Coast,Other works,,,Transport Network Investments,2555000,0,750000,1805000,0,0,305000,2250000,0,0,0,0,0,,,0,,
South Coast,Other works,,,Transport Planning,10002239,0,542388,9459851,0,0,4194054,2833185,2975000,2975000,1775000,1200000,0,,,0,,
Metropolitan,Brisbane City,National,1510417,"Gateway Motorway, Bracken Ridge to Pine River upgrade",427446361,1000000000,800000000,200000000,0,40452613,55000000,65000000,307446361,307446361,110397400,197048961,532101026,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",https://www.tmr.qld.gov.au/projects/gateway-motorway-bracken-ridge-to-pine-river-upgrade ,1,-27.308808,153.02989
Metropolitan,Brisbane City,National,1500732,"Port of Brisbane, planning",14880281,20000000,20000000,0,0,5119719,800000,500000,13580281,13580281,5660281,7920000,0,"Australian Government Major Projects Business Case Fund, recognising in-kind contribution from the Queensland Government.",,0,,
Metropolitan,Brisbane City,State,B05104,"Albion train station, Mawarra Street, upgrade station",15810224,16840000,0,16840000,0,1029776,1800606,4202618,9807000,9807000,9807000,0,0,,,1,-27.4293,153.0404
Metropolitan,Brisbane City,State,3188355,"Aspley bikeway, Zillmere Road to Cabbage Tree Creek bikeway, construct shared path",5000000,5000000,0,5000000,0,0,200000,1000000,3800000,3800000,3000000,800000,0,,,1,-27.356069,153.026671
Metropolitan,Brisbane City,State,B05362,"Banyo train station, St Vincents Road, upgrade station",30292819,65656002,0,65656002,0,35363183,30242819,50000,0,0,0,0,0,,,1,-27.3749,153.077309
Metropolitan,Brisbane City,State,2393196,"Bicentennial Bikeway, Kurilpa Bridge to Victoria Bridge, design active transport upgrades",2939308,3600000,0,3600000,0,660692,1629500,1309808,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/bicentennial-bikeway-kurilpa-bridge-to-queens-wharf-road-business-case ,1,-27.470384,153.020617
Metropolitan,Brisbane City,State,1815511,"Bowen Bridge Road to Exhibition Station, upgrade rail pedestrian connection",3928291,8000000,0,8000000,0,4071709,3928291,0,0,0,0,0,0,,https://crossriverrail.qld.gov.au/stations-routes/exhibition-station/ ,1,-27.451472,153.029628
Metropolitan,Brisbane City,State,B06465,Breakfast Creek Bridge Replacement,24187458,28000000,0,28000000,0,3812542,24187458,0,0,0,0,0,0,,,1,-27.4336,153.039721
Metropolitan,Brisbane City,State,B05733,"Breakfast Creek Bridge, realign track",15722314,48454963,0,48454963,0,32732649,9188180,6534134,0,0,0,0,0,This project is being delivered by Cross River Rail Delivery Authority.,,1,-27.4337,153.039785
Metropolitan,Brisbane City,State,8783,Brisbane Mesoscopic AIMSUN Model,500000,1421662,0,1421662,0,921662,125000,175000,200000,200000,100000,100000,0,,,0,,
Metropolitan,Brisbane City,State,2374644,"Brisbane Metro, South Bank Transport Study, planning",366667,1000000,333333,333334,333333,300000,366667,0,0,0,0,0,0,"Project scope, cost and timing are subject to further planning, consideration and negotiation with funding partners.",,0,,
Metropolitan,Brisbane City,State,2383186,"Brisbane Metro, Woolloongabba Station, funding commitment",204183000,450000000,150000000,150000000,150000000,56817000,4183000,5000000,195000000,195000000,15000000,180000000,39000000,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration and negotiation with the Australian Government and Brisbane City Council.",https://www.tmr.qld.gov.au/projects/brisbane-metro-woolloongabba-station ,1,-27.48691,153.032857
Metropolitan,Brisbane City,State,B05099,"Buranda train station, Arne Street (Woolloongabba), upgrade station",43498008,70078999,0,70078999,0,26580991,43448008,50000,0,0,0,0,0,,,1,-27.4966,153.04064
Metropolitan,Brisbane City,State,1976618,"Butterfield Street Layover, construct bus layover and facilities",9058597,10200000,0,10200000,0,1141403,9058597,0,0,0,0,0,0,,,1,-27.445254,153.027954
Metropolitan,Brisbane City,State,1582984,"Cannon Hill Shopping Centre, upgrade bus station",10825123,12405000,0,12405000,0,1579877,0,10825123,0,0,0,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/cannon-hill-shopping-centre-bus-facility-design-bus-station ,1,-27.470717,153.096395
Metropolitan,Brisbane City,State,669801,Centenary Bridge Upgrade,172056920,298500000,139250001,159249999,0,126443080,65000000,50000000,57056920,57056920,57056920,0,0,,https://www.tmr.qld.gov.au/projects/centenary-motorway-ellen-grove-toowong-centenary-bridge ,1,-27.527707,152.946927
Metropolitan,Brisbane City,State,2655724,"Centenary Motorway Upgrade, planning",2000000,10000000,10000000,0,0,8000000,2000000,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/centenary-motorway-planning-australian-government-funding-commitment ,1,-27.512136,152.957734
Metropolitan,Brisbane City,State,1058947,"Chermside Bus Layover, Gympie Road and Murphy Road intersection, construct bus facilities",11708219,17480000,0,17480000,0,5771781,7425000,4283219,0,0,0,0,0,,,1,-27.37903,153.029428
Metropolitan,Brisbane City,State,8799,"Chermside bus stop, construct southbound platform",11493448,16535846,0,14175847,2359999,5042398,7001868,4491580,0,0,0,0,0,,,1,-27.385702,153.031778
Metropolitan,Brisbane City,State,B05732,"Clapham Yard Stabling (Moorooka), construct stabling yard",327577044,532356250,0,532356250,0,204779206,123000000,204577044,0,0,0,0,0,This project is being delivered by Cross River Rail Delivery Authority.,,1,-27.5359,153.013655
Metropolitan,Brisbane City,State,B06622,Cross River Rail Tunnel Maintenance Plant,11949996,12049996,0,12049996,0,100000,3100000,4899996,3950000,3950000,3750000,200000,0,,,0,,
Metropolitan,Brisbane City,State,B04735,"European Train Control Systems Signalling Program:  Phase 1 (Pilot line, Tunnel, and Sector 1 to Moorooka)",629766578,1318322074,0,1318322074,0,688555496,272400000,216667967,140698611,140698611,93700000,46998611,0,"This is the same project as European Train Control Systems Level 2 but also includes new cyber security/Operational readiness scope, full integration with other Cross River Rail contract schedules to Moorooka, and addresses inflationary signalling costs. There is also a reallocation of $47m of funding from QR’s existing Network Efficiencies program.",,0,,
Metropolitan,Brisbane City,State,2275860,"Gympie Arterial Road (Kedron - Bald Hills), planning",9700000,10000000,5000000,5000000,0,300000,2250000,7450000,0,0,0,0,0,,,1,-27.331756,153.011721
Metropolitan,Brisbane City,State,2152631,"Gympie Arterial Road and Murphy Road intersection, Downfall Creek Bridge, planning",200000,1978134,0,1978134,0,1778134,200000,0,0,0,0,0,0,,,1,-27.379361,153.029297
Metropolitan,Brisbane City,State,2384603,"Gympie Arterial Road, Telegraph Road to Strathpine Road, improve drainage",14426409,15000000,0,15000000,0,573591,2026409,6200000,6200000,6200000,6200000,0,0,,,1,-27.328538,153.012392
Metropolitan,Brisbane City,State,3248877,"Gympie Road surface corridor transformation, business case",17000000,17000000,0,17000000,0,0,10000000,7000000,0,0,0,0,0,,,0,,
Metropolitan,Brisbane City,State,B06466,"Inner City Rail Corridor, upgrade signalling and interlocking planning",130221,1500000,0,1500000,0,1369779,130221,0,0,0,0,0,0,This project will undertake initial planning works for future funding consideration.,,1,-27.46464,153.01766
Metropolitan,Brisbane City,State,B05739,Inner City Signalling Upgrades,26579101,74738895,0,74738895,0,48159794,13530742,13048359,0,0,0,0,0,This project is being delivered by Cross River Rail Delivery Authority.,,1,-27.46464,153.01766
Metropolitan,Brisbane City,State,2311859,"Inner Northern Busway, Roma Street, improve bus station",4000000,12000000,0,12000000,0,8000000,2000000,2000000,0,0,0,0,0,,https://crossriverrail.qld.gov.au/precincts/roma-street-station-precinct/ ,1,-27.466181,153.020351
Metropolitan,Brisbane City,State,2369175,"Ipswich Motorway (Cunningham Arterial Road), Rocklea to Darra, remaining sections, planning",16200000,25000000,12500000,12500000,0,8800000,8000000,8200000,0,0,0,0,0,,,1,-27.566066,152.980683
Metropolitan,Brisbane City,State,B06065,"Lindum train station, Sibley Road, upgrade station",28606836,62381000,0,62381000,0,33774164,28109476,497360,0,0,0,0,0,,,1,-27.4424,153.144125
Metropolitan,Brisbane City,State,1160465,Linkfield Road Overpass upgrade,160035161,176000000,125500000,50500000,0,15964839,5821314,28104283,126109564,126109564,75109564,51000000,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/linkfield-road-overpass-upgrade ,1,-27.331257,153.010239
Metropolitan,Brisbane City,State,2422929,"Logan Sub-Arterial Road (Miles Platting Road) and Padstow Road, upgrade intersection, planning",800000,1250000,0,1250000,0,450000,800000,0,0,0,0,0,0,,,1,-27.559848,153.081186
Metropolitan,Brisbane City,State,1244447,"Manly Boat Harbour, master planning",219916,525000,0,525000,0,305084,219916,0,0,0,0,0,0,,,1,-27.456165,153.187006
Metropolitan,Brisbane City,State,B05735,"Mayne Yard Accessibility, upgrade vehicle and pedestrian access",44572669,173411184,0,173411184,0,128838515,28794046,15778623,0,0,0,0,0,This project is being delivered by Cross River Rail Delivery Authority.,,1,-27.4444,153.036231
Metropolitan,Brisbane City,State,B05740,Mayne Yard Relocations,10029486,27336751,0,27336751,0,17307265,5189993,4839493,0,0,0,0,0,This project is being delivered by Cross River Rail Delivery Authority.,,1,-27.4411,153.036649
Metropolitan,Brisbane City,State,3247455,"Moggill Sub-Arterial Road, Witton Road to the Western Freeway off ramp (Chapel Hill), active transport design and construction",10370000,10370000,0,10370000,0,0,2000000,7000000,1370000,1370000,1370000,0,0,,,0,,
Metropolitan,Brisbane City,State,B06066,"Morningside train station, Waminda Street, upgrade station",30009499,68025002,0,68025002,0,38015503,29734098,275401,0,0,0,0,0,,,1,-27.4709,153.069509
Metropolitan,Brisbane City,State,B06737,Roma Street surface station integration,24557000,35000000,0,35000000,0,10443000,24557000,0,0,0,0,0,0,This project is delivered by the Department of Transport and Main Roads.,,1,-27.4644,153.0194
Metropolitan,Brisbane City,State,1244277,"Samford Sub-Arterial Road (Samford Road) and Glen Holm Street, upgrade intersection",5400000,10000000,0,10000000,0,4600000,5400000,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/samford-sub-arterial-road-samford-road-and-glen-holm-street-upgrade-intersection ,1,-27.412148,152.971645
Metropolitan,Brisbane City,State,2292190,"Stafford Road and South Pine Road upgrade intersection, planning",823800,1200000,0,1200000,0,376200,823800,0,0,0,0,0,0,,https://www.tmr.qld.gov.au/projects/Stafford-Road-and-South-Pine-Road-Intersection-Upgrade-planning-study ,1,-27.406909,152.992778
Metropolitan,Brisbane City,State,B05734,Station Upgrades Fairfield to Salisbury,47290362,105354596,0,105354596,0,58064234,25679891,21610471,0,0,0,0,0,This project is being delivered by Cross River Rail Delivery Authority.,,0,,
Metropolitan,Brisbane City,State,1583698,"Upper Mount Gravatt Busway Station, accessibility upgrade",3500000,4469500,0,4469500,0,969500,0,3500000,0,0,0,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",,1,-27.565546,153.083473
Metropolitan,Brisbane City,State,3181839,"Veloway 1 (V1) Cycleway, Birdwood Road cycle bridge and approaches, construction",36146330,36146330,0,36146330,0,0,3614633,21687798,10843899,10843899,10843899,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-27.523263,153.054287
Metropolitan,Brisbane City,State,2635585,"Western Arterial Road (Toowong - Everton Park), Wardell Street Ramp and Pickering Street, improve safety",3160612,3586000,0,3586000,0,425388,3160612,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.419268,152.991638
Metropolitan,Brisbane City,Local,2248719,"Beams Road (Carseldine and Fitzgibbon), upgrade rail level crossing",197402042,235000000,56240000,138760000,40000000,37597958,56236549,61040899,80124594,80124594,80124594,0,0,,https://www.tmr.qld.gov.au/projects/beams-road-carseldine-and-fitzgibbon-rail-level-crossing-funding-commitment ,1,-27.348697,153.029479
Metropolitan,Brisbane City,Local,1488479,"Boundary Road (Coopers Plains), upgrade rail level crossing, funding commitment",289448815,399000000,179500000,179500000,40000000,17895535,63084084,68450000,157914731,157914731,71570381,86344350,91655650,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",https://www.tmr.qld.gov.au/projects/boundary-road-coopers-plains-rail-level-crossing-funding-commitment ,1,-27.570124,153.037454
Metropolitan,Brisbane City,Local,1677748,"Brisbane Metro, funding commitment",15000000,300000000,300000000,0,0,285000000,10000000,5000000,0,0,0,0,0,Funding commitment towards Brisbane City Council's Brisbane Metro project.,,0,,
Metropolitan,Brisbane City,Local,2605820,"Cavendish Road rail level crossing (Coorparoo), funding commitment",42000000,98500000,98500000,0,0,0,0,14000000,28000000,28000000,14000000,14000000,56500000,"Represents the balance of the $100 million, with $1.5 million matching the state funding to progress planning.",,1,-27.488938,153.055571
Metropolitan,Brisbane City,Local,2420128,"Coorparoo Level Crossing precinct, Cavendish Road and Stanley Street East, planning",3000000,3000000,1500000,1500000,0,0,200000,1400000,1400000,1400000,1400000,0,0,,,1,-27.491859,153.058616
Metropolitan,Brisbane City,Local,3088381,"Illaweena Street, Stretton State College, upgrade carpark",1800000,3600000,0,1800000,1800000,0,1800000,0,0,0,0,0,0,,,1,-27.639812,153.056384
